Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
			PLAxisVisible		String	'Set to YES to make the vertical axis visible on the subplot'
			PLCaptionText		String	'The caption text used for the vertical axis'
			PLCaptionVisible		String	'Set to YES to show a title on the vertical axis'
			PLInverted		String	'Set to YES to swap the vertical axis minimum and maximum scales'
			PLLogarithmic		String	'Set to YES to show the vertical axis scale logarithimically (using Base 10)'
		*1*	PlotName		String	'Name of the Plot to which this object belongs'
			PlotSeriesCount		Integer	'Total number of plot series this object contains'
			PLScaleAuto		String	'Set to YES to have the plot automatically adjust the minimum vertical axis value based on the data in the series.'
			PLScaleAuto:1		String	'Set to YES to have the plot automatically adjust the maximum vertical axis value based on the data in the series.'
			PLScaleInc		Real	'The minimum step between vertical axis labels.  If there is not enough space for all labels, a larger increment than this will be used.'
			PLScaleRound		String	'Set to YES to round the minimum value on the vertical axis to an integer value'
			PLScaleRound:1		String	'Set to YES to round the maximum value on the vertical axis to an integer value'
			PLScaleValue		Real	'Lowest value on the vertical axis'
			PLScaleValue:1		Real	'Highest value on the vertical axis'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			Side		String	'Side of the plot on which the vertical axis is displayed: Left or Right'
			SOFontSize		Integer	'The font size for the caption text used for the vertical axis'
			SOUseColor		String	'Set to NO to force Simulator to use automatically choose a color.  Set to YES to use the color.'
		*2*	SubPlotNum		Integer	'Number of the SubPlot to which this object belongs'
PVSubPlot
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			FileName		String	'The filename in which advanced options for the subplot are stored.'
			FontColor		Integer	'The font color for the caption text used for the horizontal axis.  If set to "none", then PowerWorld will automatically choose a color.'
			FontColor:1		Integer	'The font color for the caption text used for the subplot title.  If set to "none", then PowerWorld will automatically choose a color.'
			FontColor:2		Integer	'The font color for the caption text used for the subplot footer.  If set to "none", then PowerWorld will automatically choose a color.'
			HorizAxisOption		String	'Set to YES to plot the pre-contingency value on the horizontal axis'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
			PLAutoShow		String	'YES means always show legend.  No means never show legend.  Default means show the legend if the number of plot series is below the global threshold specified on the plot tab of the Plot Designer.'
			PLAxisVisible		String	'Set to YES to make the horizontal axis visible on the subplot'
			PLCaptionText		String	'The caption text used for the horizontal axis'
			PLCaptionText:1		String	'The caption text used for the subplot title'
			PLCaptionText:2		String	'The caption text used for the subplot footer'
			PLCaptionVisible		String	'Set to YES to show a title on the horizontal axis'
			PLCaptionVisible:1		String	'Set to YES to show a title on the subplot'
			PLCaptionVisible:2		String	'Set to YES to show a footer on the subplot'
			PLColor		Integer	'The background color of the subplot'
			PLInverted		String	'Set to YES to swap the horizontal axis minimum and maximum scales'
			PLLogarithmic		String	'Set to YES to show the horizontal axis scale logarithimically (using Base 10)'
		*1*	PlotName		String	'Name of the Plot to which this object belongs'
			PlotSeriesCount		Integer	'Total number of plot series this object contains'
			PLScaleAuto		String	'Set to YES to have the plot automatically adjust the minimum horizontal axis value based on the data in the series.'
			PLScaleAuto:1		String	'Set to YES to have the plot automatically adjust the maximum horizontal axis value based on the data in the series.'
			PLScaleInc		Real	'The minimum step between horizontal axis labels.  If there is not enough space for all labels, a larger increment than this will be used.'
			PLScaleRound		String	'Set to YES to round the minimum value on the horizontal axis to an integer value'
			PLScaleRound:1		String	'Set to YES to round the maximum value on the horizontal axis to an integer value'
			PLScaleValue		Real	'Lowest value on the horizontal axis'
			PLScaleValue:1		Real	'Highest value on the horizontal axis'
			PLVisible		String	'Set to YES to show the subplot inside the plot'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SOFontSize		Integer	'The font size for the caption text used for the horizontal axis'
			SOFontSize:1		Integer	'The font size for the caption text used for the subplot title'
			SOFontSize:2		Integer	'The font size for the caption text used for the subplot footer'
			SOUseColor		String	'Set to NO to force Simulator to use automatically choose a color.  Set to YES to use the color.'
			SOUseColor:1		String	'Set to NO to force Simulator to use automatically choose a color.  Set to YES to use the color.'
			SOUseColor:2		String	'Set to NO to force Simulator to use automatically choose a color.  Set to YES to use the color.'
			SOX		Real	'The left edge of the subplot as a percentage of the width of the plot.  Value must be between 0 and 100.'
			SOX:1		Real	'The right edge of the subplot as a percentage of the width of the plot.  Value must be between 0 and 100.'
			SOY		Real	'The top edge of the subplot as a percentage of the width of the plot.  Value must be between 0 and 100.'
			SOY:1		Real	'The bottom edge of the subplot as a percentage of the width of the plot.  Value must be between 0 and 100.'
		*2*	SubPlotNum		Integer	'Number of the SubPlot to which this object belongs'
			VariableName		String	'Variable Name whose value is being plotted on the Y axis'
			WhoAmI		String	'Object whose values are being plotted on the X axis'
PWCaseInformation
	PWCaseHeader
			AreaNum		Integer	'Number of Areas in the model'
			BGHourCost		Real	'Total System Hourly Cost'
			BGLossMVR		Real	'Total System Losses Mvar'
			BGLossMW		Real	'Total System Losses MW'
			BGNegSpinReserve		Real	'Generator Spinning Reserve (Negative)'
			BGNIslands		Integer	'Number of Islands in the model'
			BGPosSpinReserve		Real	'Generator Spinning Reserve (Positive)'
			BGTotalCost		Real	'Total System Cost'
			BranchNum		Integer	'Number of Transmission Lines in the model'
			BranchNum:1		Integer	'Number of Series Capacitors in the model'
			BranchNum:2		Integer	'Number of LTC transformers in the model'
			BranchNum:3		Integer	'Number of Mvar transformers in the model'
			BranchNum:4		Integer	'Number of phase-shifting transformers in the model'
			BranchNum:5		Integer	'Number of breakers'
			BranchNum:6		Integer	'Number of disconnects'
			BranchNum:7		Integer	'Number of ZBRs'
			BranchNum:8		Integer	'Number of Fuses'
			BranchNum:9		Integer	'Number of Load Break Disconnects'
			BranchNum:10		Integer	'Number of Ground Disconnects'
			BusLoadNum		Integer	'Number of Loads in the model'
			BusNum		Integer	'Number of Buses in the Model'
			BusSlack		String	'List of slack buses in the model'
			DCLineNum		Integer	'Number of DC transmission lines in the model'
			GenMVR		Real	'Sum of generation Mvar in the model'
			GenMVR:1		Real	'Sum of Mvar for Generators producing negative MW'
			GenMW		Real	'Sum of generation MW in the model'
			GenMW:1		Real	'Sum of MW for Generators producing negative MW'
			GenNum		Integer	'Number of Generators in the model'
			InjGrpNum		Integer	'Number of Injection Groups in the model'
			IntNum		Integer	'Number of Interfaces in the model'
			LinePTDFLosses		Real	'Percentage increase in system losses determined with a PTDF calculation.'
			LoadMVR		Real	'Sum of on-line load Mvar in the model'
			LoadMVR:1		Real	'Sum of Mvar for Loads with negative MW'
			LoadMW		Real	'Sum of on-line load MW in the model'
			LoadMW:1		Real	'Sum of MW for Loads with negative MW'
			MonBranchPLoss		String	'When using the PV or QV tools, set the YES to track the MW Loss for the entire system.'
			MonBranchQLoss		String	'When using the PV or QV tools, set the YES to track the Mvar Loss for the entire system.'
			MTDCNum		Integer	'Number of Multi-Terminal DC Transmission Lines in the model'
			OverloadRank		Real	'Overload rank (sum of the squared % on all lines being monitored)'
			PVmonBusPLoad		String	'When using the PV or QV tools, set to YES to track the MW Load for the entire case.'
			PVmonBusQLoad		String	'When using the PV or QV tools, set to YES to track the Mvar Load for the entire case.'
			PVMonGenMVR		String	'When using the PV or QV tools, set to YES to track the Gen Mvar for the entire case.'
			PVMonGenMW		String	'When using the PV or QV tools, set to YES to track the Gen MW for the entire case.'
			PVMonShuntActP		String	'When using the PV or QV tools, set to YES to track the Shunt Actual P for the entire case.'
			PVMonShuntActQ		String	'When using the PV or QV tools, set to YES to track the Shunt Actual Q for the entire case.'
			pwDocLocalPath		String	'Name of the current case.'
			SSAMVR		Real	'Sum of the shunt actual Mvar in the model (includes Bus Shunt, Switched Shunt, and Line Shunt values)'
			SSAMW		Real	'Sum of the shunt actual MW in the model (includes Bus Shunt, Switched Shunt, and Line Shunt values)'
			SSNum		Integer	'Number of Switched Shunts in the model'
			SubNum		Integer	'Number of substations'
			ZoneNum		Integer	'Number of Zones in the model'
PWFormOptions
	PieSizeColorOptions
			AllowCloseIfMaxOnelinesExceeded		String	'Set to YES to allow auto closing if maximum number of onelines exceeded'
			BusIdentifier		String	'Identifiers to use when showing the name of a substation object'
			CaseInfoBackgroundColor		Integer	'Oneline Background Color'
			CaseInfoBackgroundColor:1		Integer	'Thumbnail Background Color'
			ConditionCaseAbs		String	'Use Absolute Values for MW Line Flows'
			ConditionCaseAbs:1		String	'Use Absoluate Values for MVar Line Flows'
			ConditionCaseAbs:2		String	'Use Absoluate Values for Interface MW Flows'
			DecimalPlaces		Integer	'The total decimals used by the field in the upper part of a substation object'
			DecimalPlaces:1		Integer	'The total decimals used by the field in the lower part of a substation object'
			DecimalPlaces:2		Integer	'The total decimals used by the field in the left part of a substation object'
			DecimalPlaces:3		Integer	'The total decimals used by the field in the right part of a substation object'
			DecimalPlaces:4		Integer	'The total decimals used by the field shown inside the generator symbol'
			IncludeUnits		String	'Include units on the field in the upper part of a substation object'
			IncludeUnits:1		String	'Include units on the field in the lower part of a substation object'
			IncludeUnits:2		String	'Include units on the field in the left part of a substation object'
			IncludeUnits:3		String	'Include units on the field in the right part of a substation object'
			LineMonEle		String	'Only Apply Pie Chart Warning/Limit sizing to Monitored Elements'
			LineMVA		Real	'Max Line Flow Reference'
			MinScreenFontSize		Real	'Minimum Font Size for Pie Charts that are higher than the warning percentage'
			OOAFDensity		Real	'Animated Flows Density'
			OOAFDoFlow		String	'Animate Flow'
			OOAFDoSize		String	'Animate Size'
			OOAFDoSpeed		String	'Scale Speed of Flows'
			OOAFMaintainDensityAboveMaxZoom		String	'Animated Flow Maintain Density Above Max Zoom Level'
			OOAFMinimumSize		Integer	'Minimum Size in Pixels'
			OOAFRTShowFlowsOnBothSides		String	'Show Normal Real-Time Flows on Both Sides'
			OOAFScaleReference		Real	'Reference value for use in scaling animated flow shapes when animating Custom Float 1 field'
			OOAFshow		String	'Show Animated Flows'
			OOAFShowFlowsOnBranches		String	'Show Flows on Branches'
			OOAFShowFlowsOnGens		String	'Show Flows on Gens'
			OOAFShowFlowsOnLoads		String	'Show Flows on Loads'
			OOAFShowFlowsOnShunts		String	'Show Flows on Shunts'
			OOAFShowPTDFCounterFlow		String	'Show PTDF Counter Flow'
			OOCBFillColor		Integer	'Closed Normally Closed Breaker Fill Color'
			OOCBFillColor:1		Integer	'Open Normally Closed Breaker Fill Color'
			OOCBFillColor:2		Integer	'Closed Normally Open Breaker Fill Color'
			OOCBFillColor:3		Integer	'Open Normally Open Breaker Fill Color'
			OOCBShape		String	'Circuit Breaker Shape'
			OOCBUseFillColor		String	'Closed Normally Closed Breaker Use Fill Color'
			OOCBUseFillColor:1		String	'Open Normally Closed Breaker Use Fill Color'
			OOCBUseFillColor:2		String	'Closed Normally Open Breaker Use Fill Color'
			OOCBUseFillColor:3		String	'Open Normally Open Breaker Use Fill Color'
			OOColorKeyPosX		Integer	'Contour Color Key X Position'
			OOColorKeyPosY		Integer	'Contour Color Key Y Position'
			OOColorKeySizeX		Integer	'Contour Color Key Width'
			OOColorKeySizeY		Integer	'Contour Color Key Height'
			OODisplayCBsOnObjects		String	'Set to YES to display circuit breakers on Closed objects.  Circuit breakers will always be shown on open objects.'
			OODisplayCBsOnObjects:1		String	'Set to YES to display circuit breakers on loads where Status = Closed.'
			OODisplayCBsOnObjects:2		String	'Set to YES to display circuit breakers on generators where Status = Closed.'
			OODisplayCBsOnObjects:3		String	'Set to YES to display circuit breakers on switched shunts where Status = Closed.'
			OODisplayDetail		String	'Display Detail (Complete, Moderate, or Minimal)'
			OODisplayDetailFilter		String	'Display Detail Filter'
			OODisplayGenRotors		String	'Display Generator Rotors'
			OOEmphasisAmount		Integer	'Emphasis Amount'
			OOEmphasisFilter		String	'Emphasis Filter'
			OOFlowViz		String	'Flow Visualization Type (MW, Mvar, MW/Mvar, PTDF, MW/PTDF, Amps, Cust Float 1)'
			OOGenAngleChange		Integer	'Generator Rotor Angle Change per Refresh in degrees (enter an integer)'
			OOGridColor		Integer	'Gridline Color'
			OOGridX		Integer	'Horizontal Show Every'
			OOGridY		Integer	'Vertical Show Every'
		*1*	OOName		String	'Name of oneline options'
			OOPieBackColor		Integer	'Pie Chart Specific Background Color'
			OOPieBackColorMethod		String	'Pie Chart Background Color Method (Oneline, Specific, or Clear)'
			OOPieChartDisplayInPercent		String	'Display pie chart values as a percentage'
			OOPieChartShow		String	'Show Pie Charts'
			OOPieChartShow:1		String	'Show Only Valid Pie Charts'
			OOPieColorAsAnchor		String	'Set Pie Chart Color to be the same as the line to which it is anchored (if any)'
			OOPieShowExtra		String	'Pie Show Header'
			OOPieShowExtra:1		String	'Pie Show Footer'
			OOPieShowMax		String	'Pie Chart Always Show Limiting Flow'
			OOPieTextSizeScalar		Real	'Pie Chart Relative Font Size (0 - 100)'
			OOSnapToGrid		String	'Snap to Grid'
			OOSubShape		String	'Substation Shape'
			OOThumbNailViewShow		String	'Thumbnail Shown'
			OOUseDisplayDetailFilter		String	'Use Display Detail Filter?'
			OOUseEmphasisFilter		String	'Use Emphasis Filter?'
			SaveContour		String	'Render contour image with loading AXD'
			ShowXY		String	'Display Grid Lines on Oneline'
			SOAnchored		String	'Temporarily Disable Anchors'
			SOColor		Integer	'Closed Normally Closed Breaker Color'
			SOColor:1		Integer	'Open Normally Closed Breaker Color'
			SOColor:2		Integer	'Closed Normally Open Breaker Color'
			SOColor:3		Integer	'Open Normally Open Breaker Color'
			SOData		String	'Animated Flows Parameter (Actual or Percent)'
			SOFillColor		Integer	'MW Fill Color'
			SOFillColor:1		Integer	'MVAR Fill Color'
			SOFillColor:2		Integer	'PTDF Fill Color'
			SOFillColor:3		Integer	'Fault Fill Color'
			SOFillColor:4		Integer	'PTDF Counter Flow Fill Color'
			SOFillColor:5		Integer	'Custom Float 1 Fill Color'
			SOHeight		Real	'Vertical Grid Spacing'
			SOOrientation		String	'Thumbnail Location (UL, UR, LL, LM, or LR)'
			SOOrientation:1		String	'Animated Flow Symbol (Arrows, Circles, Squares, or Triangle)'
			SOScalar		Real	'Relative text size for field inside the generator object (0 - 100)'
			SOSize		Real	'Thumbnail Size'
			SOSize:1		Real	'Animated Flow Size'
			SOStubSpace		Real	'Animated Flow Rate'
			SOThickness		Integer	'Thumbnail Border Width'
			SOType		String	'Pie Chart Style (MVA, MW, Mvar, Amp/MVA, CTG, PTDF)'
			SOType:1		String	'Pie Chart Style (MVA, MW, Mvar, Amp/MVA, CTG, PTDF)'
			SOUseFillColor		String	'Thumbnail Use Oneline Background'
			SOUseFillColor:1		String	'Use Animated Flow Arrow Fill'
			SOWidth		Real	'Horizontal Grid Spacing'
			SOZoomCond		String	'Thumbnail ZoomOut Type'
			SOZoomHigh		Real	'Thumbnail ZoomOut Multiplier'
			SOZoomHigh:1		Real	'Animated Flow Max Zoom Resize'
			SOZoomHigh:2		Real	'Thumbnail Specified ZoomOut Level'
			SOZoomLow		Real	'Maximum Zoom Percentage for Full Resizing'
			SymbolType		String	'The type of symbol to show in the upper left part of a substation object: None, Gen, Load, Shunt or Buses'
			SymbolType:1		String	'The type of symbol to show in the upper right part of a substation object: None, Gen, Load, Shunt or Buses'
			SymbolType:2		String	'The type of symbol to show in the lower left part of a substation object: None, Gen, Load, Shunt or Buses'
			SymbolType:3		String	'The type of symbol to show in the lower right part of a substation object: None, Gen, Load, Shunt or Buses'
			TextToHeightRatio		Real	'The percent of the height of an injection group object which is taken up by the name of the object.'
			TextToHeightRatio:1		Real	'The percent of the height of a substation object which is used by the upper symbols and fields'
			TextToHeightRatio:2		Real	'The percent of the height of a substation object which is taken up by the name/number of the object'
			TextToHeightRatio:3		Real	'The percent of the height of a substation object which is taken up by the upper/identifier buffer'
			TextToHeightRatio:4		Real	'The percent of the height of a substation object which is taken up by the lower/identifier buffer'
			TextToHeightRatio:5		Real	'The percent of the width of a substation object which is used by the left field'
			TextToHeightRatio:6		Real	'The percent of the width of a substation object which is taken up by the name/number of the object'
			TextToHeightRatio:7		Real	'The percent of the width of a substation object which is taken up by the left/identifier buffer'
			TextToHeightRatio:8		Real	'The percent of the width of a substation object which is taken up by the right/identifier buffer'
			TotalDigits		Integer	'The total digits used by the field in the upper part of a substation object'
			TotalDigits:1		Integer	'The total digits used by the field in the lower part of a substation object'
			TotalDigits:2		Integer	'The total digits used by the field in the left part of a substation object'
			TotalDigits:3		Integer	'The total digits used by the field in the right part of a substation object'
			TotalDigits:4		Integer	'The total digits used by the field shown inside the generator symbol'
			VariableName		String	'The variable name which is shown in the upper part of a substation object'
			VariableName:1		String	'The variable name which is shown in the lower part of a substation object'
			VariableName:2		String	'The variable name which is shown in the left part of a substation object'
			VariableName:3		String	'The variable name which is shown in the right part of a substation object'
			VariableName:4		String	'The variable name which is shown inside the generator object symbol'
			WhatToDoWhenTextTooBig		String	'Setting for what to do when the identifier text of a substation object does not fit with the width of a substation.'
			WhatToDoWhenTextTooBig:1		String	'Setting for whether to shrink text to fit inside generator'
			XfmrSymbol		Integer	'0 - Default symbol specified with the case options, 1 - Coils, 2 - Circles'
PWOPFTimePoint
			AreaCustomInput		Real	'Custom input defined for an area.'
			BGGenMaxMW		Real	'Gen Max MW'
			BGGenMW		Real	'Gen MW'
			BGHourCost		Real	'Initial Cost $/h'
			BGHourCost:1		Real	'Final Cost $/h'
			BGHourCost:2		Real	'Cost Change $/h'
			BGHourCost:3		Real	'Unconstrained $/h'
			BGHourCost:4		Real	'Congestion $/h'
			BGIntMW		Real	'Sched MW Tie Flow'
			BGIntMW:1		Real	'Actual MW Tie Flow'
			BGIntMW:2		Real	'MW Tie Error'
			BGLoadMVR		Real	'Load Mvar'
			BGLoadMW		Real	'Load MW'
			BusCustomInput		Real	'Custom input defined for a bus.'
			BusGenMW		Real	'Gen MW'
			BusLoadMVR		Real	'Load Mvar'
			BusLoadMW		Real	'Load MW'
			BusMCMW		Real	'MW Marg. Cost'
			CTGNBranchViol		Integer	'# Line Viol.'
			CTGNInterfaceViol		Integer	'# Interface Viol.'
			CTGNUnsolveable		Integer	'Number of contingencies that did not solve.'
			CTGNViol		Integer	'# Viol.'
			CTGNVoltViol		Integer	'# Bus Volt Viol.'
			CTGProc		String	'Processed'
			CTGSkip		String	'Skip'
			CTGSolved		String	'Solved'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			Date		String	'Date'
			GenCustomInput		Real	'Custom input defined for a generator.'
			GenLPDeltaMW		Real	'Delta MW'
			GenLPMW		String	'OPF MW Control'
			GenLPOrgMW		Real	'Initial MW'
			GenMWMax		Real	'Max MW'
			Hour		String	'Time'
			InjectionGroupCustomInput		Real	'Custom input defined for an injection group.'
			InterfaceCustomInput		Real	'Custom input defined for an interface.'
			IntMWMC		Real	'MW Marg. Cost $/MWh'
			LineCustomInput		Real	'Custom input defined for a line.'
			LineMCMVA		Real	'MVA Marg. Cost'
			LineMW		Real	'MW'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
			OPFBGLoadMW		Real	'Load MW'
			OPFBGLoadMWZone		Real	'Load MW'
			OPFInjGroupOutput		Real	'Injection Group MW'
			OPFTDNBUS		Integer	'Num Buses'
			OPFTDNGen		Integer	'Num Gens'
			OPFTDNLoad		Integer	'Num Loads'
			OPFTDNTie		Integer	'Num Tielines'
			OPFTDResults		Real	'LMP Average'
			OPFTDSolType		String	'Solution Type'
			OwnerCustomInput		Real	'Custom input defined for an owner.'
			RunCTGs		String	'Run CTGs'
			SACustomInput		Real	'Custom input defined for a super area.'
			SEBusGenMVR		Real	'Gen Mvar'
			SEBusGenMW		Real	'Gen MW'
			SEFlowError		Real	'Total Flow Error'
			SEFlowSum		Real	'Total Abs Flow'
			SEItr		Integer	'LP Iterations'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SESSMvar		Real	'Mvar'
			SEXFPhase		Real	'Phase Angle'
			SEXFTapRatio		Real	'Tap Ratio'
			TimeDomainCRArea		Real	'Area Custom Results'
			TimeDomainCRBus		Real	'Bus Custom Results'
			TimeDomainCRGen		Real	'Generator Custom Results'
			TimeDomainCRInjectionGroup		Real	'Injection Group Custom Results'
			TimeDomainCRInterface		Real	'Interface Custom Results'
			TimeDomainCRLine		Real	'Line Custom Results'
			TimeDomainCROwner		Real	'Owner Custom Results'
			TimeDomainCRSA		Real	'Superarea Custom Results'
			TimeDomainCRSwitchedShunt		Real	'Monitored output for a switched shunt.'
			TimeDomainCRXF		Real	'Transformer Custom Results'
			TimeDomainCRZone		Real	'Zone Custom Results'
			TPPostScriptCmd		String	'Post Script Command'
			TPPreScriptCmd		String	'Pre Script Command'
			XFCustomInput		Real	'Custom input defined for a transformer.'
			ZoneCustomInput		Real	'Custom input defined for a zone.'
PWTXGen
			ABCPhaseAngle		Real	'Generator\Fault Analysis\Phase Angle A'
			ABCPhaseAngle:1		Real	'Generator\Fault Analysis\Phase Angle B'
			ABCPhaseAngle:2		Real	'Generator\Fault Analysis\Phase Angle C'
			ABCPhaseI		Real	'Generator\Fault Analysis\Phase Current A'
			ABCPhaseI:1		Real	'Generator\Fault Analysis\Phase Current B'
			ABCPhaseI:2		Real	'Generator\Fault Analysis\Phase Current C'
			AllLabels		String	'Generator\Labels\Labels All'
			AreaName		String	'Generator\Area\Name of Gen'
			AreaName:1		String	'Generator\Area\Name of Bus'
			AreaNum		Integer	'Generator\Area\Num of Gen'
			AreaNum:1		Integer	'Generator\Area\Num of Bus'
			BGCalcField		Real	'Generator\Calculated Field\(no Calculated Fields defined yet)'
			BusCat		String	'Generator\Solution\Type (PV, PQ, Slack, etc...) of Bus'
			BusgenericSensP		Real	'Generator\Sensitivity of Bus\Injection dValue/dP'
			BusgenericSensQ		Real	'Generator\Sensitivity of Bus\Injection dValue/dQ'
			BusGenericSensV		Real	'Generator\Sensitivity of Bus\Injection dValue/dVsetpoint (for PV bus)'
			BusKVVolt		Real	'Generator\Voltage\kV Actual of Bus'
			BusLossSensMW		Real	'Generator\Sensitivity of Bus\MW Losses'
			BusMCMW		Real	'Generator\OPF\Marginal MW Cost of Bus'
			BusName		String	'Generator\Name of Bus'
			BusName_NomVolt		String	'Generator\Name_Nominal kV of Bus'
			BusNomVolt		Real	'Generator\Voltage\kV Nominal of Bus'
			BusNum		Integer	'Generator\Number of Bus'
			BusObjectOnline		String	'Generator\Online'
			BusPenaltyFactor		Real	'Generator\Sensitivity of Bus\Loss Penalty Factor'
			BusPUVolt		Real	'Generator\Voltage\Per Unit Magnitude of Bus'
			ContainedInDiffFlowsBC		String	'Generator\Difference Flows\In Diff. Flows Base Case?'
			Convex		String	'Generator\Cost\Convex?'
			CTGMakeUpGen		Real	'Generator\Contingency Analysis\Max Response MW'
			CTGMakeUpGen:1		Real	'Generator\Contingency Analysis\Max Response %'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			CustomInteger		Integer	'Generator\Custom\Integer 1'
			CustomInteger:1		Integer	'Generator\Custom\Integer 2'
			CustomInteger:2		Integer	'Generator\Custom\Integer 3'
			CustomInteger:3		Integer	'Generator\Custom\Integer 4'
			CustomInteger:4		Integer	'Generator\Custom\Integer 5'
			CustomSingle		Real	'Generator\Custom\Floating Point 1'
			CustomSingle:1		Real	'Generator\Custom\Floating Point 2'
			CustomSingle:2		Real	'Generator\Custom\Floating Point 3'
			CustomSingle:3		Real	'Generator\Custom\Floating Point 4'
			CustomSingle:4		Real	'Generator\Custom\Floating Point 5'
			CustomString		String	'Generator\Custom\String 1'
			CustomString:1		String	'Generator\Custom\String 2'
			CustomString:2		String	'Generator\Custom\String 3'
			CustomString:3		String	'Generator\Custom\String 4'
			CustomString:4		String	'Generator\Custom\String 5'
			Datum		String	'Generator\Geography\Datum of Bus'
			DerivedStatus		String	'Generator\Derived Status'
			DevOwnerDefault		String	'Generator\Owners\Default Is Used'
			ETLR		Real	'Generator\Sensitivity of Bus\ETLR'
			FltSeqAngle		Real	'Generator\Fault Analysis\Sequence Angle +'
			FltSeqAngle:1		Real	'Generator\Fault Analysis\Sequence Angle -'
			FltSeqAngle:2		Real	'Generator\Fault Analysis\Sequence Angle 0'
			FltSeqI		Real	'Generator\Fault Analysis\Sequence Current  +'
			FltSeqI:1		Real	'Generator\Fault Analysis\Sequence Current  -'
			FltSeqI:2		Real	'Generator\Fault Analysis\Sequence Current  0'
			GEAGCFlag		Integer	'Generator\EPC File\GE AGC Flag'
			GEAirTemp		Integer	'Generator\EPC File\GE Air Temperature'
			GEBus		Integer	'Generator\EPC File\GE Bus - High'
			GEBus:1		Integer	'Generator\EPC File\GE Bus - Terminal'
			GEBusName		String	'Generator\EPC File\GE Bus Name - High'
			GEBusName:1		String	'Generator\EPC File\GE Bus Name - Terminal'
			GEBusVolt		Real	'Generator\EPC File\GE Bus Nominal Voltage - High'
			GEBusVolt:1		Real	'Generator\EPC File\GE Bus Nominal Voltage - Terminal'
			GECompensatingRX		Real	'Generator\EPC File\GE Compensating Resistance'
			GECompensatingRX:1		Real	'Generator\EPC File\GE Compensating Reactance'
			GEDateIn		String	'Generator\EPC File\GE In Service Date'
			GEDateOut		String	'Generator\EPC File\GE Retirement Date'
			GEDispatchFlag		Integer	'Generator\EPC File\GE Dispatch Flag'
			GEEPCModificationStatus		String	'Generator\EPC File\EPC Modification Status'
			GEExtraOwnerPF		Real	'Generator\EPC File\GE Owner Part. Factors (add'l) 1'
			GEExtraOwnerPF:1		Real	'Generator\EPC File\GE Owner Part. Factors (add'l) 2'
			GEExtraOwnerPF:2		Real	'Generator\EPC File\GE Owner Part. Factors (add'l) 3'
			GEExtraOwnerPF:3		Real	'Generator\EPC File\GE Owner Part. Factors (add'l) 4'
			GEExtraOwners		Integer	'Generator\EPC File\GE Owners (additional) 1'
			GEExtraOwners:1		Integer	'Generator\EPC File\GE Owners (additional) 2'
			GEExtraOwners:2		Integer	'Generator\EPC File\GE Owners (additional) 3'
			GEExtraOwners:3		Integer	'Generator\EPC File\GE Owners (additional) 4'
			GEFlaggedForDelete		String	'Generator\EPC File\Flagged for Delete in EPC'
			GEGovernorFlag		Integer	'Generator\EPC File\GE Governor Flag'
			GELongID		String	'Generator\EPC File\GE Long ID'
			GenAGCAble		String	'Generator\MW Output\AGC'
			GenAVRAble		String	'Generator\Mvar Output\AVR'
			GenAVRRange		Real	'Generator\Mvar Output\AVR Range (Max Mvar - Min Mvar)'
			GenBidMW		Real	'Generator\Cost\Bid\Point  1 MW Break'
			GenBidMW:1		Real	'Generator\Cost\Bid\Point  2 MW Break'
			GenBidMW:2		Real	'Generator\Cost\Bid\Point  3 MW Break'
